2025	GSMA Intel	折线图	5G渗透率趋势	趋势变化+渗透率演变	#009BDB,#1FB3E5,#66CCEE,#B3E0F0	white	折线+渗透标注	高亮渗透拐点	标注采用里程碑	单栏	正文8pt	从左到右趋势	GSMA、5G、折线、渗透	nature-figure
12447	人形机器人	柱状图	企业布局	各人形机器人企业技术进展排行	Teal-7	white	horizontal bar humanoid robot progress	TOP标注	标注领先	CT-01	Noto Sans 11	降序	人形机器人/进展/柱状图	viz-echarts
12996	地热	折线图	地热供暖	地热供暖面积的年度	Warm-8	white	line geothermal heating	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	地热/供暖/折线图	viz-echarts
10943	VisualCap	树图	全球财富	各大洲各国的财富分布	Teal-7	white	treemap global wealth	最大板块标注	标注最大	CT-01	Noto Sans 10	从大到小	视觉资本家/全球财富/树图	viz-echarts
5383	SOC2	安全控制评估	SOC2合规性	SOC2各信任服务准则的合规评估	green,yellow,red,gray	#FFFFFF	Harvey Ball	不合格标注	标注控制差距	Harvey Ball	8pt sans	准则→控制→不合格	SOC2 Harvey,合规,控制,差距	viz-svg-flow
12408	统计	雷达图	发展质量	经济/民生/生态/创新/开放/协调	Sky-6	white	radar development quality	最强标注	短板标注	CT-01	Noto Sans 10	中心向外	统计/发展质量/雷达图	viz-echarts
11175	Clarksons	折线图	新船订单	全球新船订单量的月度变化	Sky-6	white	line newbuild orders	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	Clarksons/新船订单/折线图	viz-echarts
5792	Staking	质押收益分析	PoS收益评估	各PoS网络在质押率/APR/解锁期的收益对比	teal,coral,stone	#FFFFFF	气泡图	最优收益标注	标注收益风险	气泡散点	8pt sans	质押率→APR→最优→风险	质押气泡,收益,PoS,APR	viz-echarts
13580	自动驾驶	柱状图	无人出租	各城市无人驾驶出租车辆数排行	Sky-6	white	horizontal bar robotaxi fleet	TOP标注	标注增速	CT-01	Noto Sans 11	降序	自动驾驶/无人出租/柱状图	viz-echarts
8716	HR	气泡图	薪酬vs绩效九宫格	展示员工薪酬水平与绩效评估的关系气泡大小=任职年限	蓝→绿渐变	白	circle	高标高绩效低薪人才	标注九宫格分区	气泡+网格	10/12 无衬线	九宫格定位	薪酬,绩效,九宫格,人才	viz-echarts
12582	生物制造	瀑布图	发酵效率	从菌株设计到量产的效率提升	Sky-6	white	waterfall fermentation efficiency	最大提升标注	标注提升项	CT-01	Noto Sans 11	从左到右	生物制造/效率/瀑布图	viz-echarts
9696	MarTech	柱状图	营销渠道ROI	搜索社交信息流KOL	Teal-7	white	horizontal bar	最高标注	标注成本	CT-01	Noto Sans 11	ROI降序	营销/ROI	viz-echarts
9185	Tourism	气泡图	旅游消费力分布	展示各旅游目的地人均消费与停留天数的关系气泡大小=总客流	蓝→金渐变	白	circle	高标高消费长停留	标注价值目的地	气泡+象限	10/12 无衬线	四象限定位	旅游,消费,停留,价值	viz-echarts
8187	数字美元	雷达图	CBDC方案对比评估	各CBDC设计方案的特性对比	Digital $ Blue,Red	#FFFFFF	五边形雷达	优势特性(深蓝)	标注方案评级	01-单中心	Source Sans 7/6	外→内	数字美元,CBDC,方案	viz-echarts
11037	信通院	柱状图	数字经济规模	各省份数字经济占GDP比重排行	Coral-5	white	horizontal bar digital economy	TOP标注	标注均值	CT-01	Noto Sans 11	降序	信通院/数字经济/柱状图	viz-echarts
7893	Airbyte	瀑布图	数据集成成本拆解	从抽取到转换到加载各阶段的成本	Airbyte Orange,Blue	#FFFFFF	阶梯条	高成本阶段(橙色)	标注计算成本	01-单中心	Source Sans 7/6	左→右	Airbyte,瀑布图,集成	viz-echarts
12194	数字营销	面积图	流量来源	各流量来源占比的年度	Sky-6	white	stacked area traffic source	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	数字营销/流量/面积图	viz-echarts
9615	Restaurant	饼图	餐厅成本结构	食材/人工/租金/水电/营销占比	Coral-5	white	pie slices	最大成本标注	标注行业均值	CT-01	Noto Sans 11	份额大小	餐厅/成本结构/饼图	viz-echarts
2127	第一财经	折线图	宏观经济指标月度趋势	趋势变化+基准对比	#C41E3A,#FF6B6B,#4A4A4A,#CCCCCC	white	折线+基准线	高亮拐点月	标注数据+解读	单栏	正文8pt	从左到右趋势	第一财经、宏观、折线、月度	nature-figure
2242	Rockefeller Fdn	漏斗	影响力投资筛选路径	递减转化+瓶颈识别	#0072BC,#00A3E0,#F7931D,#CCCCCC	white	分段漏斗	标注最大流失	标注筛选标准	单栏居中	正文8pt	从上到下衰减	Rockefeller、影响力、漏斗、投资	nature-figure
880	Salesforce	客户留存桑基	Salesforce —《客户留存流向：桑基图》	桑基图展示客户从获客到留存/流失的流向和转化	#007DBA #6B8E23 #E31837 #666666	#FFFFFF	flow	留存用绿色，流失用红色	标注各阶段客户数和流失率	桑基流左→右	Salesforce Sans 8/7	第一眼→最大流量 → 第二眼→流失节点 → 最终理解→留存健康	桑基图 客户留存 流向	viz-echarts
4240	重庆市统计局	重庆制造业转型升级路径图	传统制造→智能制造→绿色制造转型路径	流程路径图标注各阶段关键指标和目标	Stone 各阶段渐变	#FFFFFF	从左到右路径	高标签当前阶段	指标标注	按转型顺序	Helvetica 9pt	左→右 转型路径	经济 重庆 制造业 路径	viz-svg-flow
7186	Nature Machine Intelligence	雷达图	AI医疗影像算法评估	多维AI性能（灵敏度/特异度/速度/泛化/公平）	AI medical colors	White	Polygon	高亮点AI性能维度	维度评分+人医对比	单中心	Sans, 8pt	中心→外围维度	科技,AI,雷达,医疗	viz-echarts
13385	微服务	柱状图	服务拆分	各企业微服务平均拆分数量	Sky-6	white	horizontal bar microservice count	TOP标注	标注均值	CT-01	Noto Sans 11	降序	微服务/拆分/柱状图	viz-echarts
1767	Datawrapper	堆叠柱状图	Datawrapper —《欧洲各国能源来源结构对比》	核能/天然气/煤/可再生的发电占比跨国对比	紫（核）/灰（气）/棕（煤）/绿（可再生）	白	堆叠柱状，各国并列	高亮可再生占比最高国	标注%	C08-堆叠构成	8/6pt无衬线	下→上构成	Datawrapper/欧洲能源/堆叠/结构	nature-figure
12418	EIU	雷达图	民主维度	选举多元/公民自由/政府运作/政治参与/政治文化	Sky-6	white	radar democracy	最强标注	短板标注	CT-01	Noto Sans 10	中心向外	EIU/民主维度/雷达图	viz-echarts
9591	Public Sector	瀑布图	财政收支变化驱动	从上年结余到本年结余的各收支项	Teal-7	white	waterfall fiscal	最大收支标注	标注赤字	CT-01	Noto Sans 11	从左到右	公共部门/财政/瀑布图	viz-echarts
13585	数字孪生	瀑布图	降本增效	从基准到优化的各改进因素	Sky-6	white	waterfall digital twin savings	最大改善标注	标注改善项	CT-01	Noto Sans 11	从左到右	数字孪生/效益/瀑布图	viz-echarts
2637	Global Forest Watch	毁林警报热力日历	卫星监测毁林事件日度热力	矩阵式密集数据，毁林活动的日度监测热力模式	#E74C3C,#F39C12,#27AE60	#FFFFFF	日历热力	高标毁林密集期	标注政策事件	日历网格	无衬线紧凑	日历阅读	森林,GFW,热力,毁林	nature-figure
13057	GDP	柱状图	人均GDP	各省市人均GDP排行	Teal-7	white	horizontal bar gdp per capita	TOP标注	标注均值	CT-01	Noto Sans 11	降序	GDP/人均/柱状图	viz-echarts
11592	EdSurge	气泡图	学习效果	x=成绩提升 y=参与度 size=留存	Stone-6	white	bubble learning outcome	有效标注	四象限标签	CT-01	Noto Sans 10	象限扫描	EdSurge/学习效果/气泡图	viz-echarts
2774	彭博	 candlestick 图	美股 K 线走势	OHLC 价格走势	#C72C41,#50C878	白	蜡烛图	高亮关键价格位	标注成交量	时间轴	10px/7px	左→右	K线,蜡烛,美股,彭博,价格	viz-echarts
5476	THE	研究影响力评估	大学研究产出	各大学研究在各维度上的影响力分布	teal,coral,stone,gray	#FFFFFF	散点+四分线	领先标注	标注差距	散点四分	8pt sans	散点→四分→领先→差距	研究散点,影响力,产出,差距	viz-echarts
320	BCG Strategy — 企业五年战略规划	时间线路线图（Timeline Roadmap）	BCG — 时间线价值创造图：五年战略路线图	展示企业五年战略的阶段性目标、关键里程碑和预期价值释放节奏——"第一年打基础、第三年见成效、第五年收获"			每个阶段用 BCG 绿色系色块区分（深绿=奠基期，中绿=加速期，浅绿=规模化）；里程碑节点用黄色菱形标注；价值释放用绿色向上箭头	每个阶段块内标注战略主题名和 2-3 个关键举措；里程碑旁标注具体目标和达成标准；底部标注累计价值曲线	横向时间轴（Year 0 → Year 5），上方分阶段色块+里程碑，下方放累计价值创造的阶梯线	Sans-serif（BCG 品牌字体），阶段名 11pt bold，举措 8pt，里程碑标注 9pt	第一眼→三个阶段的颜色渐变和宽度（奠基最长、规模化最宽） → 第二眼→黄色里程碑菱形的分布密度 → 最终理解→价值释放集中在 Year 3-5，前两年是投资期→	时间线路线图（Timeline,BCG Strate		viz-echarts:generate_line_chart(timeline)
7970	TomTom Traffic	柱状图	城市交通排名对比	全球城市的拥堵排名和趋势	TomTom Red,Blue	#FFFFFF	横向条	高拥堵(深红)	标注排名和指数	02-双栏	Source Sans 7/6	上→下	TomTom,排名,拥堵	viz-echarts
5429	JohnDeere	精准农业热力	农田产量差异	同一农田不同区域的产量差异热力	warm-ramp,cream	#FDF8F0	网格热力	高产/低产标注	标注差异原因	网格热力	7pt sans	网格→高产→低产→原因	精准热力,农业,产量,差异	viz-echarts
10719	Refinitiv	气泡图	新兴市场债	x=利差 y=外债 size=外汇储备	Sky-6	white	bubble emerging market debt	风险标注	四象限标签	CT-01	Noto Sans 10	象限扫描	Refinitiv/新兴市场债/气泡图	viz-echarts
13307	预期寿命	柱状图	各省寿命	各省市人均预期寿命排行	Sky-6	white	horizontal bar life expectancy by province	TOP标注	标注均值	CT-01	Noto Sans 11	降序	预期寿命/各省/柱状图	viz-echarts
3209	Box Office Mojo	柱状图	全球票房Top10电影分区域票房对比	电影市场区域差异	#C8102E #FFB81C #007DBA	#FFFFFF	bar	中国票房红色	标注中国占比	26 并列比较	Helvetica 14/10	标题→排序→中国票房→区域占比	Box Office Mojo 柱状图 票房 区域	viz-echarts
373	National Geographic / Malofiej 29 金奖	分层流向地图（Layered Flow Map）	Malofiej 金奖 —《国家地理：帝王蝶迁徙路径的分层地图》	展示帝王蝶从加拿大到墨西哥 4000 公里的迁徙路径，叠加温度带、栖息地变化和人为威胁——一趟旅程正在变得越来越艰难			迁徙主线用金黄色粗线，途经的危险区域（城市扩张、农药区）用红色半透明叠加	关键栖息地标注地名和停留天数，底部放温度带横截面图	纵向北美地图，路径从上（加拿大）到下（墨西哥），右侧嵌温度横截面	Serif（Georgia），地名 11px 斜体，标题 30px 衬线加粗	第一眼→金黄色迁徙主线穿越绿色大陆 → 第二眼→线上的红色斑块（威胁区） → 最终理解→温度带的季节变化如何限制迁徙窗口	分层流向地图（Layered ,National G		viz-echarts:generate_map_chart
2522	顺丰科技	物流时效箱线图	各线路配送时效分布	统计分布形态+异常值，物流线路时效的稳定性对比	#C71585,#FF69B4	#FFFFFF	箱线图	标注中位数	标注异常线路	水平箱线	无衬线紧凑	排序后从左到右	物流,顺丰,箱线,时效	nature-figure
2974	UNDP	雷达图	人类发展指数评估	健康/教育/收入/平等/可持续	#50C878,#4A90D9	白	五维雷达	高标最弱维度	标注提升空间	雷达	10px/7px	中心→外围	人类发展,雷达,UNDP,HDI,评估	nature-figure
12734	私募	气泡图	投资回报	x=风险 y=回报 size=规模	Sky-6	white	bubble private equity return	回报标注	四象限标签	CT-01	Noto Sans 10	象限扫描	私募/回报/气泡图	viz-echarts
7309	中国数据要素×	雷达图	数据要素市场化进展评估	多维市场化（确权/定价/流通/安全/监管）	市场化 gradient	White	Polygon	高亮点市场化维度	维度评分+阶段	单中心	Sans, 8pt	中心→外围维度	政府,数据,雷达,市场化	viz-echarts
13381	DevOps	雷达图	研发效能	规划/编码/构建/测试/部署/监控	Teal-7	white	radar devops capability	最强标注	短板标注	CT-01	Noto Sans 10	中心向外	DevOps/效能/雷达图	viz-echarts
1606	Skift	堆叠面积图	Skift —《旅行方式演变：商务/休闲/商务休闲混合》	blenforcement趋势下的旅行类型结构变化	蓝（商务）/绿（休闲）/紫（混合）	白	堆叠面积	高标混合旅行增长段	标注趋势拐点	08-面积图	8/6pt无衬线	下→上构成	Skift/旅行方式/演变/堆叠面积	nature-figure
4532	Frost	阶梯图	技术采用S曲线	从早期到主流的递进	蓝紫阶梯	白	阶梯上升	加速期高亮	标注采用阶段	阶梯	Arial 8pt	自下而上	Frost/技术/阶梯/采用/曲线	viz-echarts
2618	Tesla IR	交付量与产能甘特图	各工厂产能爬坡与交付	时间+进度，多工厂产能建设和交付里程碑的跟踪	#CC0000,#000000	#FFFFFF	甘特条	高标达标工厂	标注产能目标	甘特	无衬线紧凑	时间从左到右	产能,Tesla,甘特,交付	nature-figure
3757	Nature Medicine	治疗响应瀑布图(Waterfall Response)	肿瘤患者最佳疗效瀑布	每个患者一个柱，按肿瘤变化%降序排列，RECIST 阈值线	Teal 缩小/Stone 稳定/Coral 增大	#FFFFFF	患者横向排列瀑布	高亮 PR/CR 患者	RECIST 阈值线(PD/SD/PR)	按疗效排序	Arial 7pt 患者 ID	左→右 疗效递减	学术 肿瘤 瀑布 治疗响应	viz-echarts
6742	Kantar Information	堆叠柱状图	信息消费时长渠道构成	多组分段对比（手机/PC/TV/其他）	Device colors	White	Stacked bar	高亮增长最快渠道	渠道占比+变化	堆叠	Sans, 7pt	年份→渠道构成	信息,消费,堆叠,渠道	viz-echarts
344	Uber	热力地图	Uber — 实时出行热力地图	展示城市内实时出行需求的分布密度，帮助司机判断热点区域			高需求区域用蓝色渐变加深，低需求区域透明	极简标注，仅热点区域标注地名+预估等待时间	城市地图底图 + 热力叠加层 + 右侧简洁面板	Sans 12px 地名 + 16px 等待时间	第一眼→深蓝色热区 → 第二眼→热区的地理位置 → 最终理解→去哪里接单最快	热力地图,Uber		viz-echarts:generate_map_chart(heatmap)
2964	UNCTAD	气泡演变图	FDI 流向演变	各区域 FDI 流入演变	#4A90D9,#50C878,#C72C41	白	气泡演变	高标最大流入区域	标注政策吸引力	时间+气泡	10px/7px	左→右	FDI,投资,气泡,UNCTAD,演变	viz-echarts
1339	联合国开发计划署	人类发展指数	《HDI排名：维度分解堆叠条》	展示各国人类发展指数在教育/健康/收入三个维度的分解	#009EDB #F26522 #000000 #999999	#FFFFFF	stacked	中国用红色高亮	标注极高HDI阈值线	堆叠条+阈值线+排名	UNB Tahoma 9/7	第一眼→中国接近极高HDI → 第二眼→教育是短板 → 最终理解→发展不均衡	堆叠 HDI 人类发展	viz-echarts
12883	广告	柱状图	广告主支出	各行业广告支出排行	Sky-6	white	horizontal bar advertiser spend	TOP标注	标注总额	CT-01	Noto Sans 11	降序	广告/支出/柱状图	viz-echarts
7177	PTC Digital	瀑布图	数字孪生ROI来源拆解	从投入到ROI各价值来源贡献	Digital twin ROI colors	White	Waterfall	高亮点最大价值来源	来源+金额	瀑布	Sans, 7pt	投入→价值→ROI	科技,孪生,瀑布,ROI	viz-echarts
1114	NYT	美国无家可归者统计	NYT —《美国主要城市无家可归者：分组条形+时间》	分组条形图对比纽约、洛杉矶、旧金山等城市无家可归者人数的年度变化	#E31837 #666666	#FFFFFF	bar	按人数排序	标注政策变化和增长幅度	分组条形排序	NYT Sans 8/7	第一眼→最高城市 → 第二眼→增长最快 → 最终理解→住房危机	条形图 无家可归者	viz-echarts
12628	WIPO	柱状图	专利申请	各国PCT专利申请量排行	Teal-7	white	horizontal bar wipo patent	TOP标注	标注增速	CT-01	Noto Sans 11	降序	WIPO/专利/柱状图	viz-echarts
8438	Kaiser Permanente	雷达图	整合医疗体系评估	预防/治疗/康复/精神/老年五维	Kaiser Blue,Red	#FFFFFF	五边形雷达	强维度(深蓝)	标注质量评分	01-单中心	Source Sans 7/6	外→内	Kaiser,整合医疗,质量	viz-echarts
13086	5G	面积图	5G应用	eMBB/uRLLC/mMTC场景应用占比	Warm-8	white	stacked area 5g scenario	拐点标注	标注拐点标	CT-01	Noto Sans 11	时间轴	5G/场景/面积图	viz-echarts
9313	F1	瀑布图	F1预算帽分配	分解F1车队在预算帽下的各支出领域(研发/人力/物流/运营)	灰→红→蓝	白	stack	高标最大支出项	标注预算帽线	预算瀑布	10/12 无衬线	从上到下累积	F1,预算,分配,车队	viz-echarts
4374	Greenpeace	塑料微粒污染分布气泡地图	全球水域塑料微粒污染程度	地图上气泡：位置=水域，大小=微粒浓度，颜色=类型	Warm 浓度梯度	#FFFFFF	地图+气泡	高标签污染最严重水域	浓度标注	按浓度排序气泡大小	Arial 8pt	地理→污染分布	环境 塑料 微粒 地图	viz-echarts
1015	WaPo	校园枪击统计	WaPo —《美国校园枪击事件：条形+趋势}	条形图展示每年校园枪击事件数量，叠加五年移动平均趋势线	#E31837 #666666	#FFFFFF	bar+line	年度数据用红色条形	标注重大事件和政策节点	条形+趋势线叠加	WaPo Sans 9/8	第一眼→上升条形 → 第二眼→趋势线方向 → 最终理解→枪击增长	条形图 枪击 安全	viz-echarts
12150	AI框架	柱状图	开发者生态	各深度学习框架开发者数量排行	Teal-7	white	horizontal bar ai framework developers	TOP标注	标注增速	CT-01	Noto Sans 11	降序	AI框架/开发者/柱状图	viz-echarts
4504	OECD	棒棒糖图	各国教育支出排名	公共教育投入比较	蓝绿排序	白	棒棒糖	Top5高亮	标注OECD均值	棒棒糖	Arial 8pt	从上到下	OECD/教育/棒棒糖/支出/排名	viz-echarts
11690	UNICEF	柱状图	用水困难	各国缺乏安全用水人口排行	Warm-8	white	horizontal bar water scarcity	最严重标注	标注均值	CT-01	Noto Sans 11	降序	UNICEF/用水困难/柱状图	viz-echarts
995	IMF	全球债务前景	IMF —《全球公共债务前景：瀑布+预测》	瀑布图分解全球公共债务从疫情前到当前的各项变化驱动因素	#A61B3B #007DBA #666666	#FFFFFF	bar	增加用红色，减少用蓝色	标注每项驱动因素和金额	瀑布+预测虚线	IMF Sans 9/8	第一眼→总债务增长 → 第二眼→最大驱动 → 最终理解→债务压力	瀑布图 债务 全球	viz-echarts
10531	WHO	南丁格尔图	月度死亡统计	12个月度死亡人数的扇形面积	Teal-7	white	coxcomb monthly death	最高月份标注	标注最高	CT-01	Noto Sans 10	环形扫描	WHO/月度死亡/南丁格尔图	viz-echarts
11072	FAO	折线图	粮价指数	全球食品价格的月度变化	Sky-6	white	multi-line food price	峰值标注	标注峰值标	CT-01	Noto Sans 11	时间轴	FAO/粮价/折线图	viz-echarts
11697	WHO	瀑布图	自付负担	从总费用到患者自付的各减免	Sky-6	white	waterfall outof pocket	最大减免标注	标注减免项	CT-01	Noto Sans 11	从左到右	WHO/自付负担/瀑布图	viz-echarts
10291	IMF	面积图	债务积累	全球各收入组别债务/GDP的累积	Sky-6	white	stacked area debt accumulation	拐点标注	标注拐点	CT-01	Noto Sans 11	时间轴	IMF/债务积累/面积图	viz-echarts
4513	WHO	热力图	全球疾病负担矩阵	国家×疾病类型	红黄绿严重度	白	网格热力	高负担红色	标注重点疾病	矩阵热力	Arial 7pt	左上到右下	WHO/疾病/热力图/负担/全球	viz-echarts
9839	IMF	面积图	资本流动	新兴市场资本流入流出	Warm-8	white	stacked area capital	流出峰值标注	标注危机	CT-01	Noto Sans 11	时间轴	IMF/资本流动/面积图	viz-echarts
6796	WHO	热力图	全球疾病负担国别矩阵	矩阵式密集数据（国家×疾病类型）	Disease severity gradient	White	Heatmap	高亮高负担区域	疾病名+负担值	Heatmap	Sans, 6pt	行→列→颜色深浅	政府,健康,热力,疾病	viz-echarts
13541	IEA	柱状图	能源投资	各能源类型年度投资额排行	Teal-7	white	horizontal bar iea energy investment	TOP标注	标注增速	CT-01	Noto Sans 11	降序	IEA/能源投资/柱状图	viz-echarts
1213	FAO	全球粮食安全	《全球饥饿指数：十年变化棒棒糖》	展示各国饥饿指数从十年前到现在的变化幅度和方向	#C0392B #E67E22 #F1C40F #27AE60	#FFFFFF	lollipop	改善显著的国家用绿色	标注零饥饿目标线	棒棒糖+排序+目标线	Source Sans 9/7	第一眼→多数在改善 → 第二眼→冲突地区恶化 → 最终理解→进步不均衡	棒棒糖 粮食 饥饿	viz-echarts
691	IMF	债务可持续性瀑布	IMF —《债务可持续性分析：瀑布图》	瀑布图展示影响债务可持续性的各宏观经济因素	#005EB8 #E31837 #666666	#FFFFFF	bar	恶化用红色，改善用蓝色	每柱标注宏观因素和贡献度	瀑布+N+2	DIN 9/8	第一眼→净债务变化 → 第二眼→最大驱动因素 → 最终理解→债务风险	瀑布图 债务 宏观经济	viz-echarts
2428	UNESCO	世界遗产分布地图	全球世界遗产地理分布	空间/领域分布，文化遗产的全球格局	#C0392B,#8E44AD	#ECF0F1	地图气泡	高亮密集区域	标注 TOP5 国家	世界地图	无衬线常规	地理阅读	遗产,UNESCO,地图,文化	nature-figure
11866	WHO	瀑布图	疫苗覆盖	从目标人口到实际接种的各流失	Stone-6	white	waterfall vaccine coverage	最大流失标注	标注流失项	CT-01	Noto Sans 11	从左到右	WHO/疫苗覆盖/瀑布图	viz-echarts
9800	FT	瀑布图	汇率变动	从基线到当前汇率的驱动	Coral-5	white	waterfall fx	最大驱动标注	标注驱动项	CT-01	Noto Sans 11	从左到右	金融时报/汇率分解/瀑布图	viz-echarts
537	Visual Capitalist	气泡排名+品类色	Visual Capitalist —《全球锂产量气泡排名+用途色》	气泡大小=产量，颜色=主要用途（电池/陶瓷/润滑）	#3B82F6 #10B981 #FFB300 #E53935	#FFFFFF	circle	最大产量国用饱和色	气泡标国名和产量吨数，颜色=用途	气泡排名	Helvetica Neue 14/10	第一眼→最大气泡 → 第二眼→颜色分组 → 最终理解→产量+用途分布	气泡排名 锂产量 用途	viz-echarts:generate_scatter_chart(bubble)
1759	Visual Capitalist	气泡图	VC —《全球最富有 vs 最贫穷国家：人均GDP vs 中位数财富》	各国财富水平的双维度定位	绿（富裕）/黄（中产）/红（贫穷）	白	气泡大小=人口	高亮异常富裕国	标注国名	05-气泡图	8/6pt无衬线	左下→右上	VC/全球财富/气泡/人均GDP	nature-figure
048	Bloomberg	仪表盘	实时交易量vs容量	当前状态vs目标	#00E676 #FF1744 #58A6FF	#0D1117	arc	当前值荧光绿	容量上限红线	01 单中心聚焦	Mono 24/14	标题→仪表盘→当前→上限	Bloomberg 仪表盘 实时 状态	viz-echarts:generate_gauge_chart
9818	Economist	柱状图	政府开支结构	各国政府开支占GDP比重	Stone-6	white	stacked bar spending	最大开支标注	标注OECD均值	CT-01	Noto Sans 11	降序	经济学人/政府开支/柱状图	viz-echarts
11792	FT	瀑布图	贸易冲击	从冲击前到冲击后的各传导因素	Teal-7	white	waterfall trade shock	最大冲击标注	标注冲击项	CT-01	Noto Sans 11	从左到右	FT/贸易冲击/瀑布图	viz-echarts
10518	Economist	气泡图	人口红利	x=抚养比 y=增速 size=人口	Sky-6	white	bubble demographic dividend	最优标注	四象限标签	CT-01	Noto Sans 10	象限扫描	经济学人/人口红利/气泡图	viz-echarts
10862	Bloomberg	瀑布图	指数收益	各成分股对指数涨跌的贡献	Sky-6	white	waterfall index contributors	最大贡献标注	标注贡献	CT-01	Noto Sans 11	从左到右	彭博/指数贡献/瀑布图	viz-echarts
9810	WSJ	瀑布图	家庭收支变化	从收入到结余的各项收支	Coral-5	white	waterfall household	最大支出标注	标注支出项	CT-01	Noto Sans 11	从左到右	华尔街日报/家庭收支/瀑布图	viz-echarts
1063	Economist	全球食品价格危机	Economist —《全球食品价格通胀：气泡地图}	气泡地图展示各国食品价格年涨幅，气泡大小=食品支出占家庭预算比	#E31837 #FFB81C #007DBA	#FFFFFF	circle+map	高涨幅用红色	标注涨幅最高国家和百分比	地理气泡	Economist Sans 8/7	第一眼→红色聚集 → 第二眼→低收入国家 → 最终理解→食品危机	气泡地图 食品价格	viz-echarts
960	Reuters	难民流向桑基	Reuters —《全球难民流向：桑基图》	桑基图展示难民从来源国到目的地国的流动路径和规模	#007DBA #E31837 #FFB81C #666666	#FFFFFF	sankey	主要流用粗带+亮色	带宽度=人数，标注来源和目的地	桑基流向图	Reuters Sans 8/7	第一眼→最大流向 → 第二眼→来源聚集 → 最终理解→难民危机	桑基图 难民 流向	viz-echarts
512	Visual Capitalist	等值区域地图+气泡叠加	Visual Capitalist —《全球碳排放等值区域+人均气泡》	等值区域表达总量，气泡表达人均，一张图双层信息	#DE2D26 #FFB300 #009933	#FFFFFF	map	最高排放国用深红气泡	国家标注缩写，气泡大小=人均排放	等值区域+气泡叠加	Helvetica Neue 14/10	第一眼→色块（总量） → 第二眼→气泡大小（人均） → 最终理解→总量与人均的差异	等值区域 气泡 碳排放	viz-echarts:generate_map_chart
760	Bloomberg	波动率微笑	Bloomberg —《期权波动率微笑：曲线+执行价》	波动率微笑曲线展示不同执行价的隐含波动率分布	#E31837 #007DBA #666666	#FFFFFF	line	当月用红色，次月用蓝色	标注 ATM 点和微笑最低点	微笑曲线	DIN 8/7	第一眼→微笑形状 → 第二眼→偏斜方向 → 最终理解→市场预期偏斜	波动率微笑 期权 偏斜	viz-echarts
9739	Bloomberg	柱状图	行业估值比较	PE和PB同业对比	Warm-8	white	grouped bar	最低估值标注	标注行业中位	CT-01	Noto Sans 11	估值升序	Bloomberg/估值	viz-echarts
515	Reuters	生活成本柱图	Reuters Graphics —《伊朗战争推高物价分解图》	柱图展示各商品涨幅百分比	#E3120B #8B95A2	#FFFFFF	rect	涨幅最大用红色，其余灰色	柱顶标涨幅%，底部标商品名和基价	水平条形排序	Helvetica Neue 14/10	第一眼→最长红柱 → 第二眼→商品分布 → 最终理解→哪些日用品最受影响	柱图 生活成本 物价	viz-echarts:generate_bar_chart
