id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
193	招商证券	散点+象限	股票风险收益定位	选股定位	#CC0000 #0066FF #999999	#FFFFFF	circle	高收益低险红色	象限标策略	散点	思源黑体 14/11	标题→象限→优选→回避	招商 散点 股票 选股
194	广发证券	面积图	行业估值历史分位	历史位置	#CC0000 #0066FF #CCCCCC	#FFFFFF	area	当前分位红色	历史均值线	面积	思源黑体 14/12	标题→面积→当前→历史	广发 面积 估值 历史
195	海通证券	对比表	同业公司指标对比	横向对比	#CC0000 #0066FF #333333	#FFFFFF	rect	最优红色	底部标结论	对比表	思源黑体 14/11	标题→表格→最优→结论	海通 对比 同业 横向
196	CICC	桑基图	资金流向行业分布	资金配置	#CC0000 #0066FF #999999	#FFFFFF	flow	最大流红色	流上标金额	桑基	思源黑体 14/11	标题→来源→最大流→行业	CICC 桑基 资金 行业
197	中信证券	雷达图	行业景气度多维评估	景气评估	#CC0000 #0066FF #999999	#FFFFFF	polygon	最景气红色	顶点标指标	雷达	思源黑体 14/11	标题→雷达→最景气→底部	中信 雷达 景气 多维
198	国泰君安	甘特图	重大政策时间排期	政策时间	#CC0000 #0066FF #999999	#FFFFFF	bar	已落地红色	条标政策名	甘特	思源黑体 12/10	标题→时间轴→已落→待出	国君 甘特 政策 时间
199	申万宏源	矩阵表	行业配置建议	配置建议	#CC0000 #0066FF #999999	#FFFFFF	rect	超配红色	格子标评级	矩阵	思源黑体 12/10	标题→矩阵→超配→低配	申万 矩阵 行业 配置
200	天风证券	趋势+拐点	产业周期拐点	拐点识别	#CC0000 #0066FF #999999	#FFFFFF	line	拐点红色	拐点标产业事件	趋势	思源黑体 16/12	标题→趋势→拐点→判断	天风 趋势 拐点 产业
201	麦肯锡《Global Supply Chain Resilience》	热力图	全球供应链中断的热力传导地图	展示供应链冲击如何从局部蔓延至全球，制造紧迫感	#D32F2F	#FAFAFA	受冲击区域红色渐变加深，未受冲击区域灰度退隐 |	关键节点直接标注在地图上，传导路径用箭头+延迟天数 |	世界地图底图 + 热力叠加层 + 右侧冲击时间轴 |	无衬线、克制、数据感 |		热力图,麦肯锡《Global
202	麦肯锡《The Digital Transformation Payoff》	瀑布图	数字化转型投资回报的瀑布图	分解数字化转型总收益的构成来源	#00695C	#FFFFFF	正贡献主色实心，负贡献 #E57373，总计柱加粗 |	每根柱顶标注金额，关键转折点加注百分比 |	横向瀑布，左起点→中间分解→右终值 |	紧凑无衬线，数字加粗 |		瀑布图,麦肯锡《The Di
203	麦肯锡《The State of AI》	小多图	行业 AI 采纳成熟度的小多图矩阵	同时对比多行业 AI 成熟度，发现行业差异	#1565C0	#FFFFFF	领先行业填充更深，落后行业浅色+灰色边框 |	每个子图标题即行业名，顶部统一刻度轴 |	网格矩阵，每格一个行业，统一纵轴 |	微型标题、紧凑标签 |		小多图,麦肯锡《The St
204	麦肯锡《Consumer Sentiment Survey》	坡度图	消费者支出的坡度图	展示各品类支出意愿在疫情前后的变化方向	#C62828	#FAFAFA	上升线绿色，下降线红色，幅度越大线越粗 |	左右两端标注品类名和数值，线中间不标注 |	双纵轴坡度图，左"之前"右"之后" |	干净无衬线，数值右对齐 |		坡度图,麦肯锡《Consum
205	麦肯锡《Organizational Health Index》	雷达图	企业组织效能的雷达图对比	展示企业在多个组织健康维度上相对行业基准的表现	#0D47A1	#FFFFFF	企业轮廓深蓝填充半透明，行业基准灰色虚线 |	每个轴末端标注维度名，内部标注百分位 |	标准六轴雷达，双层叠加(企业 vs 基准) |	轻量无衬线，轴标签紧凑 |		雷达图,麦肯锡《Organi
206	麦肯锡《Solving the Productivity Puzzle》	子弹图	生产力悖论的子弹图仪表盘	对比各行业实际生产力 vs 目标值的达成情况	#37474F	#FFFFFF	实际值深色条，目标值红色竖线标记，区间用灰度层次 |	行业名左侧，达成率右侧百分比 |	水平子弹图排列，三层灰度背景带 |	紧凑表格感，数字等宽 |		子弹图,麦肯锡《Solvin
207	麦肯锡《Climate Risk and the Path to Net Zero》	折线图(分面)	气候转型路径的分面折线图	展示不同温升情景下的多指标演变路径	#1B5E20	#FFFFFF	1.5°C路径绿色粗线，>3°C路径橙色虚线，区间填充半透明 |	关键年份(2030/2050)垂直参考线，终点标注温度值 |	共享x轴的多面板，纵向堆叠 |	学术感，细线衬线+无衬线混搭 |	DNA维度 | 值 |	折线图(分面),麦肯锡《Climat
208	麦肯锡《Merger Management Practice》	桑基图	并购价值创造的桑基图	展示并购交易金额如何分配到各价值创造/损毁环节	#1565C0	#FAFAFA	价值创造蓝色流，价值损毁红色流，流量宽度编码金额 |	节点标注类别名，流上标注金额和占比 |	左→右流向，左总量→中间分配→右归总 |	中性无衬线，流标签字号随宽度缩放 |		桑基图,麦肯锡《Merger
209	麦肯锡《The Future of Work After COVID-19》	柱状图(横向)	人才技能差距的横向柱状图	排名展示各技能类别的供需缺口大小	#4527A0	#FFFFFF	缺口最大的前三项深紫色，其余浅紫 |	柱末端标注缺口百分比，左侧技能名 |	降序排列横向柱，顶部标题+副标题 |	干净无衬线，技能名左对齐 |		柱状图(横向),麦肯锡《The Fu
210	麦肯锡《Risk-Resilient Supply Chains》	双层饼图	供应链韧性的双层饼图	展示供应链风险类型分布及各类型下的子因素构成	#00838F	#FFFFFF	内环大类用深色，外环子类用同色系浅色 |	内环中心标注总数，外环引线标注子类名 |	内环(大类)+外环(子类)，中心留空放总数 |	引线标签无衬线小字 |		双层饼图,麦肯锡《Risk-R
211	麦肯锡《Operations Excellence Diagnostic》	气泡图	运营效率的散点+气泡矩阵	在效率-成本二维空间中定位各业务单元，气泡大小编码收入规模	#6A1B9A	#FAFAFA	高效低成本的"明星单元"用主色深色，其余渐浅 |	明星单元直接标注名称，其他用序号索引到脚注 |	四象限散点+气泡，对角虚线区分优劣区 |	标注小号无衬线，轴标签中等 |		气泡图,麦肯锡《Operat
212	麦肯锡《Digital Strategy》	堆叠面积图	数字化转型阶段的堆叠面积图	展示各数字化阶段企业数量随时间的变化和结构演变	#0D47A1	#FFFFFF	"领先者"层用最深色，"观望者"用最浅色 |	右侧每层末端标注阶段名和占比 |	时间轴x轴，百分比y轴，层叠至100% |	右侧标签中等字号 |		堆叠面积图,麦肯锡《Digita
213	麦肯锡《Consumer Decision Journey》	漏斗图	客户旅程的漏斗图	展示从品牌认知到最终购买的客户流失过程	#00695C	#FFFFFF	顶部深色，底部渐浅，关键流失点用红色箭头标注 |	每层标注阶段名+人数，层间标注转化率 |	居中漏斗，左右对称收缩，层间间隙 |	阶段名无衬线加粗，转化率小号斜体 |		漏斗图,麦肯锡《Consum
214	麦肯锡《Strategic Priorities Survey》	热力图(矩阵)	战略优先级的矩阵热力图	展示不同战略维度在各行业的优先级分布	#B71C1C	#FFFFFF	高优先级红色，低优先级绿色，中间黄色 |	每格标注数值，行列标注维度名 |	行x列网格，排序按优先级均值降序 |	格内数字小号加粗，行列标签中等 |		热力图(矩阵),麦肯锡《Strate
215	麦肯锡《Capital Allocation》	棒棒糖图	资本配置效率的棒棒糖图	排名展示各业务单元的资本回报率	#283593	#FAFAFA	高于资本成本的深色圆点+粗杆，低于的用灰色虚线杆 |	圆点右侧标注ROIC数值，左侧业务名 |	水平棒棒糖，从基线延伸，降序排列 |	无衬线，数值右对齐 |		棒棒糖图,麦肯锡《Capita
216	贝恩《NPS Industry Benchmarks》	蝴蝶图	客户忠诚度的蝴蝶图	对比推荐者与贬损者在各维度的评分差异	#2E7D32	#FFFFFF	左右对称展开，绿色向左，红色向右 |	中轴线标注维度名，柱端标注分值 |	居中分类轴，左右双向柱，对称排列 |	维度名居中加粗，分值外端 |		蝴蝶图,贝恩《NPS Ind
217	贝恩《Profit Pool Dynamics》	河流图	利润池演变的河流图	展示行业利润池中各细分板块的份额随时间的流动变化	#4A148C	#FFFFFF	利润增长板块用深色，萎缩板块用浅色 |	板块名标注在最大宽度处，用引线标注变点 |	对称河流，中心线居中，时间轴底部 |	流线内嵌标签，随形弯曲 |		河流图,贝恩《Profit 
218	贝恩(BCG Matrix变体)	气泡散点图	增长-份额矩阵的气泡散点	在增长率-市场份额空间定位各业务线，气泡=收入	#E65100	#FAFAFA	"明星"象限气泡深橙色，其余渐浅 |	每个气泡内标注业务缩写，右上象限加阴影底 |	经典四象限，中心十字分割，象限角标命名 |	气泡内小号加粗，象限名大号淡色 |		气泡散点图,贝恩(BCG Mat
219	贝恩《Cost Transformation》	瀑布图	成本结构的瀑布桥图	从当前成本结构到目标成本，逐步展示每项优化措施的影响	#004D40	#FFFFFF	节省项向下绿色，投资项向上蓝色，起止柱加粗 |	每步标注措施名+金额，底部标注累计节省 |	横向瀑布，从左"当前"到右"目标" |	措施名紧凑，金额加粗 |		瀑布图,贝恩《Cost Tr
220	贝恩《Talent Strategy》	弦图	人才流动的弦图	展示不同职能/部门之间的人才流动方向和规模		#1A1A2E	流量最大的弦最粗、颜色最饱和 |	外环弧段标注部门名，弧长编码人数 |	圆形弦图，外环弧段+内弦连接 |	外环标签沿弧排列，小号无衬线 |		弦图,贝恩《Talent 
221	BCG《Market Entry Strategy》	决策树	市场进入策略的决策树	展示市场进入的决策路径和每个分支的预期收益	#006064	#FFFFFF	最优路径用深色加粗线，其他路径灰色细线 |	节点标注决策点，末端标注预期NPV |	从左到右展开，每层一个决策维度 |	节点加粗，分支条件小号斜体 |		决策树,BCG《Market
222	BCG《Value Creation Framework》	帕累托图	价值创造杠杆的帕累托图	展示哪些价值创造杠杆贡献了80%的效果	#1A237E	#FFFFFF	前20%杠杆深蓝色，其余浅蓝；累计线在80%处标注 |	柱顶标注贡献值，累计线标注百分比 |	柱降序排列 + 右轴累计百分比线 |	无衬线，柱标签紧凑 |		帕累托图,BCG《Value 
223	BCG《Competitive Strategy》	散点图(带标注)	竞争格局的战略群组图	在价格-质量二维空间定位竞争对手，识别战略空白区	#311B92	#FAFAFA	客户企业用大圆+边框突出，竞品用小圆 |	每个点标注品牌名，空白区用虚线框标注"机会区" |	二维散点，四象限+对角参考线 |	品牌名无衬线，机会区标签斜体 |		散点图(带标注),BCG《Compet
224	BCG《Global Wealth Report》	树图	全球财富分布的树图	展示全球财富按地区和资产类别的构成	#1B5E20	#FFFFFF	矩形面积编码财富规模，颜色编码地区，色深编码增长速度 |	大矩形内嵌地区名+金额，小矩形仅缩写 |	递归矩形分割，两层(地区→资产类别) |	大矩形大号加粗，小矩形微型 |		树图,BCG《Global
225	BCG《Inflation Strategy》	时间线图	通胀传导的时间线图	展示通胀从上游原材料到终端消费品的价格传导时滞	#BF360C	#FFFFFF	传导链条用渐变红色，时滞用虚线间隔标注 |	每个节点标注品类和价格变化幅度 |	水平时间线，节点从左到右排列，间距编码时滞 |	节点标签紧凑无衬线 |		时间线图,BCG《Inflat
226	Financial Times	脊线图	全球利率走势的脊线图	展示不同国家/地区利率分布曲线随时间的演变	#FFF3E0	#FFFDE7	最新数据深色填充，历史数据浅色半透明 |	每条脊线左侧标注国家名，底部共享时间轴 |	多条密度曲线纵向错叠，制造"山脊"感 |	FT标志性衬线体(Maison Neue)，小号 |		脊线图,Financial 
227	Financial Times	水平条形图(变宽)	贫富差距的"蜡笔图"	展示各收入分位群体在总收入中的占比	#CC0000	#FFF1E0	FT粉红背景，高收入段用深色宽条 |	每段标注百分比和收入区间 |	垂直堆叠条，宽度编码份额 |	FT衬线体，标签居中 |		水平条形图(变宽),Financial 
228	Financial Times	蝴蝶图	选举摇摆州的蝴蝶图	展示两党在各摇摆州的支持率差距	#1565C0	#FFF1E0	领先方的柱延伸更长，差距越大越长 |	中轴州名，柱端标注领先百分点 |	水平双向柱，中轴标注 |	FT衬线，州名加粗 |		蝴蝶图,Financial 
229	Financial Times	热力日历图	疫情扩散的动态热力日历	展示各国疫情每日新增随时间的爆发和消退	#FFFFFF	#1A1A1A	峰值周深红色，低谷白色，颜色即严重程度 |	左侧国家名，底部月份 |	行=国家，列=日期，格=日新增数 |	微型无衬线，暗色底亮色字 |		热力日历图,Financial 
230	Financial Times	区间折线图	利率走廊的区间折线图	展示利率预测区间的中心值和不确定性范围	#333333	#FFF1E0	中心线深色实线，区间用灰色半透明带 |	关键转折点标注事件(如"加息")，区间末端标注宽幅 |	时间轴+中心线+上下包络 |	FT衬线，事件标注斜体 |		区间折线图,Financial 
231	Financial Times	面积图	产业结构变迁的面积图	展示各国GDP中农业/工业/服务业占比的结构演变	#2196F3	#FFF1E0	服务业层最上方用主色，农业层底部用暖色 |	面积内标注部门名，右端标注当前占比 |	堆叠面积，x轴年份，y轴百分比 |	FT衬线，层内标签适中 |		面积图,Financial 
232	Financial Times	洛伦兹曲线	不平等程度的洛伦兹曲线叠加	展示多国收入分配的不平等程度	#0D47A1	#FFF1E0	完全平等对角线灰色虚线，各国曲线用不同深浅蓝色 |	曲线末端标注国名，对角线标注"Gini=0" |	正方形画布，对角线+弯曲曲线 |	FT衬线，国名小号 |		洛伦兹曲线,Financial 
233	Financial Times	分叉折线图	气候温升预言的分叉折线图	展示不同排放情景下的全球温升路径	#1B5E20	#FFF1E0	当前路径用粗实线，其他情景用不同虚线 |	分叉点标注"现在"，末端标注温升幅度 |	历史数据实线 → 未来多条虚线扇形展开 |	FT衬线，温升标签加粗 |	DNA维度 | 值 |	分叉折线图,Financial 
234	Financial Times	分面柱状图	英国房价热力的分面柱状图	展示不同地区房价涨幅的年度对比	#CC0000	#FFF1E0	正增长红色柱向上，负增长浅色柱向下 |	共享y轴，每面板标注地区名 |	网格分面，每面板一个地区，共享坐标轴 |	FT衬线，面板标题中等 |		分面柱状图,Financial 
235	The Economist	弧形地图	全球贸易网络的弧形地图	展示全球主要贸易路线和流量	#E00025	#F0F0F0	最大贸易流用红色粗弧线，次要流蓝色细弧 |	弧线中段标注贸易额，国家标注在点位置 |	世界地图底图 + 弧线叠加 + 流量图例 |	Economist衬线体，小号紧凑 |		弧形地图,The Econom
236	The Economist	棒棒糖图	生活成本指数的排行棒棒糖	排名展示全球城市生活成本指数	#E00025	#FFFFFF	前三名红色圆点，其余灰色，平均线水平虚线 |	圆点旁标注城市名+指数 |	垂直棒棒糖，降序排列 |	Economist衬线，城市名斜体 |		棒棒糖图,The Econom
237	The Economist	折线图(多系列)	债务占 GDP 比的马拉松折线图	展示多国政府债务水平的长期趋势		#FFFFFF	讨论中的国家用彩色粗线，其余灰色细线 |	线末端标注国名，关键事件用垂直标注条 |	标准折线，末端标签替代图例 |	Economist衬线，末端标签加粗 |		折线图(多系列),The Econom
238	The Economist	小多图	AI 竞赛的小多图矩阵	横向对比各国在AI投资/人才/论文/专利等维度的表现	#E00025	#FFFFFF	领先国红色条，其他国家蓝色 |	每面板标题=维度名，内部标注排名 |	网格小多图，每面板一个维度，条形降序 |	Economist衬线，面板标题加粗 |		小多图,The Econom
239	The Economist	桑基图	能源转型的桑基图	展示能源从源头到最终用途的流动和损耗		#FFFFFF	可再生流绿色，化石流棕色，废弃/损耗灰色流 |	节点标注能源类型，流上标注EJ(艾焦) |	左源头→中转换→右用途，底部废弃流 |	Economist衬线，流标签微型 |		桑基图,The Econom
240	The Economist	人口金字塔	人口金字塔的动态对比	展示某国人口的年龄-性别结构	#E00025	#FFFFFF	中轴线标注年龄，左右对称展开 |	左侧男性，右侧女性，底部年份，中轴年龄 |	水平双向柱，中轴=年龄，底部=人口数 |	Economist衬线，年龄标注居中 |		人口金字塔,The Econom
241	NYT	编码地图	美国选举结果的编码地图	用等面积方块展示各州选举结果，避免地理面积偏差	#2166AC	#FFFFFF	胜选方颜色填充整个方块，摇摆州用渐变色 |	每方块标注州名缩写，颜色即结果 |	5x10网格，每格=一州，位置近似地理 |	无衬线，州缩写居中加粗 |		编码地图,NYT
242	NYT	台阶折线图	种族财富差距的台阶图	展示不同种族家庭中位财富的长期差距	#1A1A1A	#FFFFFF	白人家庭用粗黑线，其他种族灰色细线，差距区域填充 |	线末端标注种族和金额，差距区域标注倍数 |	时间轴折线，末端标签，间差填充 |	NYT英文衬线(Cheltenham)，金额加粗 |		台阶折线图,NYT
243	NYT / NYT Upshot	条带热力图	极端天气频率的条带热力图	展示某地区气温异常值随年份的变化趋势	#08306B		无标注，纯色条带，左侧最早年份，右侧最新 |	仅左右两端标注年份，中间无任何文字 |	水平条带紧密排列，每条=一年 |	极简，仅端点年份 |		条带热力图,NYT / NYT 
244	NYT	折线图(带密集注释)	COVID 死亡率的注释折线图	展示美国新冠死亡率曲线，并用注释连接关键事件	#333333	#FFFFFF	折线黑色粗线，波峰处标注关键事件 |	垂直引线连接事件名到对应数据点，密集但有序 |	标准折线 + 顶部/底部注释条 |	NYT衬线，事件名小号斜体 |		折线图(带密集注释),NYT
245	NYT / Dustin Cable	点密度地图	种族隔离的点密度地图	用每个点代表一个人，展示城市的种族分布		#1A1A1A	点的颜色=种族，密度=人口密度，无额外高亮 |	极少标注，仅四角图例 |	全画布点阵，地图轮廓隐含在点的分布中 |	极简无衬线，图例小号 |		点密度地图,NYT / Dust
246	NYT	斜率图	失业率的斜率图对比	对比不同群体在经济衰退前后的失业率变化	#D32F2F	#FFFFFF	失业率上升的红线，下降的绿线，斜率越大线越粗 |	左右端标注群体名和数值 |	双时间点斜率图，左"衰退前"右"衰退后" |	NYT衬线，数值加粗 |		斜率图,NYT
247	WaPo	漏斗图(变体)	选举民调的漏斗变化图	展示选民的投票决策漏斗：注册→倾向→确定→投票	#1565C0	#FFFFFF	流失段用灰色，留存段深蓝色，每层标注人数 |	每层标注阶段名和人数，层间标注流失率 |	居中漏斗，水平排列 |	无衬线，阶段名加粗 |		漏斗图(变体),WaPo
248	WaPo	散点图(带标注)	枪支暴力的年代散点	展示大规模枪击事件的时间频率和伤亡规模	#B71C1C	#FAFAFA	伤亡越多点越大、颜色越深 |	重大事件标注事件名和日期 |	x轴时间，y轴伤亡数，气泡大小编码影响 |	无衬线，事件名斜体 |		散点图(带标注),WaPo
249	WaPo	差值柱状图	政策影响的差值柱状图	展示政策实施前后各指标的正负变化	#1565C0	#FFFFFF	正值蓝色向上，负值红色向下，零线加粗 |	柱端标注变化值，左侧标注指标名 |	水平双向柱，零线居中，按变化大小排序 |	无衬线，数值加粗 |		差值柱状图,WaPo
250	WaPo	等级符号地图	警察经费的等级符号地图	展示各城市警察经费占预算的比例	#0D47A1	#F5F5F5	圆的大小编码经费总额，颜色深浅编码占比 |	大城市标注城市名和百分比 |	地理底图 + 圆形符号叠加 |	无衬线，标注小号 |		等级符号地图,WaPo
251	Bloomberg	蜡烛图	市场波动的蜡烛图	展示金融资产的开盘/收盘/最高/最低价格走势	#00C853	#1A1A2E	涨实体绿色，跌实体红色，影线灰色 |	关键转折点标注事件，底部时间轴，右轴价格 |	时间轴蜡烛 + 底部成交量柱 |	等宽数字字体(Bloomberg Terminal风格)，荧光绿 |		蜡烛图,Bloomberg
252	Bloomberg	雷达图(多叠加)	行业 ESG 评级的雷达矩阵	对比同行业内多家公司的ESG分项得分		#FAFAFA	目标公司用主色实线粗边，竞品用虚线细边 |	每轴标注ESG维度名，叠加图例右上角 |	标准多轴雷达，2-4层叠加 |	无衬线，轴标签紧凑 |		雷达图(多叠加),Bloomberg
253	Bloomberg	仪表盘组合	宏观指标的仪表盘组合图	一页展示多个宏观经济指标的当前值、趋势和状态	#00E676	#1A1A2E	仪表盘指针颜色=状态，迷你折线=趋势 |	中心大号当前值，底部指标名，右上变化方向箭头 |	网格卡片，每卡片一个指标 |	荧光数字，等宽 |		仪表盘组合,Bloomberg
254	Bloomberg	甘特图	供应链的甘特图	展示半导体供应链各环节的产能规划和时间线	#0D47A1	#FFFFFF	当前阶段深色，未来阶段浅色，延误用红色条叠加 |	左侧标注环节名，条内标注产能数字 |	水平时间轴，纵向多环节条形 |	无衬线，条内标签小号 |		甘特图,Bloomberg
255	Gapminder / Hans Rosling	气泡散点图(动态)	人类发展指数的散点气泡图	展示各国人均收入、预期寿命和人口规模的关系		#FFFDE7	气泡大小=人口，颜色=大洲，可动画播放时间演变 |	大国标注国名，小国悬停显示 |	x轴人均收入(对数)，y轴预期寿命，气泡=人口 |	无衬线，轻松感 |		气泡散点图(动态),Gapminder 
256	NASA / Climate Central	条带热力图	全球气温异常的热力条	展示全球平均气温异常的年度变化	#08306B		纯色条带无标注，冷蓝到热红的渐变即叙事 |	仅首尾年份 |	水平条带紧密排列 |	极简 |		条带热力图,NASA / Cli
257	Nature	网络图(力导向)	科学合作网络的力导向图	展示科研领域之间的合作关系网络		#FFFFFF	节点大小=论文数，颜色=学科聚类，边粗=合作频率 |	大节点标注学科名，小节点无标注 |	力导向布局，节点+边，社区聚类自然分离 |	无衬线，学科名中等 |		网络图(力导向),Nature
258	Nature / IUCN	环形图	物种灭绝风险的环形图	展示不同物种类群的灭绝风险评估分布	#1B5E20	#FFFFFF	内环=大类群，外环=评估状态，颜色编码风险等级 |	扇区标注物种名和数量 |	双层环形，内→外层级展开 |	无衬线，扇区标签沿弧排列 |		环形图,Nature / I
259	Nature	热力矩阵	基因表达的热力矩阵	展示不同基因在不同条件下的表达水平	#2166AC	#FFFFFF	行列聚类重排，让相似模式相邻 |	行标注基因名，列标注条件名，色标尺在角落 |	行x列网格，聚类树状图在顶/左侧 |	微型无衬线，行列标签极小 |		热力矩阵,Nature
260	The Guardian	分级统计地图	全球识字率的分级统计地图	展示全球各国识字率的地域分布	#01579B	#E0E0E0	高识字率深蓝，低识字率浅蓝，无数据灰色 |	色标尺在底部，关键国家标注数值 |	世界地图底图，国家填充色 |	Guardian无衬线(Guardian Egyptian)，简洁 |		分级统计地图,The Guardi
261	The Guardian	竖琴图	收入不平等的竖琴图	展示不同国家收入分布的完整形态而非仅均值	#C62828	#FFFFFF	分布宽度=密度，中位数线白色 |	底部标注国家名，左侧标注收入刻度 |	水平排列的密度分布，对称展开 |	Guardian衬线，国家名紧凑 |		竖琴图,The Guardi
262	The Guardian	流线图	难民流动的方向流线图	展示难民的来源国和目的地国之间的流动	#FF6F00	#ECEFF1	流量越大的线越粗、越深色 |	来源国和目的地国标注国名和人数 |	地图底图 + 弧形流线 |	无衬线，国名中等 |		流线图,The Guardi
263	The Guardian	分面直方图	城市噪音的分面直方图	对比不同城市在不同时段的噪音水平分布	#5D4037	#FFFFFF	峰值柱深色，其余浅色，超过65dB的柱用红色叠边 |	每面板标注城市名，x轴标注分贝 |	网格分面，每面板一座城市 |	Guardian衬线，面板标题加粗 |		分面直方图,The Guardi
264	OECD / WHO	平行坐标图	健康指标的平行坐标图	展示多国在多个健康指标上的综合表现		#FFFFFF	高亮国家的线条加粗，其他灰色半透明 |	每条纵轴标注指标名和刻度，线末端可标注国名 |	等距平行纵轴，折线连接各轴上的值 |	无衬线，轴标签紧凑 |		平行坐标图,OECD / WHO
265	各类政府/企业年报	旭日图	预算分配的旭日图	展示预算从大类到子类的层级分配结构		#FFFFFF	悬停子弧高亮，其余变暗 |	大弧标注类别名+金额，小弧仅标注缩写 |	同心环，内环大类，外环子类，中心留空 |	无衬线，弧标签沿弧排列 |		旭日图,各类政府/企业年报
266	ProPublica《Machine Bias》(2016)	散点图 + 分组对比	ProPublica — Machine Bias：算法风险评估的种族偏差散点图	揭示 COMPAS 算法对黑人被告的"高误报率"——同等再犯风险下，黑人被标记为高风险的概率远高于白人			黑人高风险误判点用红色实心 #e94560，白人低风险正确分类点用蓝灰 #90A4AE，两组叠加在同一坐标系中	右上角标注"黑人被错误标记为高风险"，左下角标注"白人被错误标记为低风险"，中间放决策边界线	单坐标系散点图，X轴=实际再犯风险，Y轴=算法评分，决策边界斜线将空间分为四个象限	Sans-serif（Source Sans Pro），标题 22px 加粗，轴标签 11px，标注文字 13px	第一眼→红色点群集中在右上 → 第二眼→决策边界两侧的红蓝不对称分布 → 最终理解→同样犯错，黑人更容易被"高估风险"	散点图 + 分组对比,ProPublica
267	ProPublica《The Worst Penny》(2019)	累计瀑布图 + 时间轴	ProPublica — The Worst Penny：美国最差硬币的累计损失瀑布图	追踪一枚便士从铸造到退市的全部成本，揭示"造币成本 > 面值"的荒谬累积过程			铸造成本段用深蓝实心 #16213e，物流/分发成本用浅蓝 #5C8BC4，亏损累计用红色 #e94560 加粗柱	每段顶部标注美元金额，关键转折点（总成本超过面值处）用红色三角标记+文字说明	横向瀑布图，左起铸造成本，中间依次叠加分发/流通/回收成本，右侧总计	Sans-serif，阶段名 12px 加粗，金额 14px 等宽字体	第一眼→红色总计柱远高于面值线 → 第二眼→哪个成本段最"胖" → 最终理解→铸造成本本身已超过1美分	累计瀑布图 + 时间轴,ProPublica
268	ProPublica / ProPublica Election Data	蜂群图（Beeswarm）	ProPublica — Election Storm：选举夜实时结果的蜂群图	展示全美各郡选举结果的空间分布——不是红蓝两极，而是一个连续的渐变谱，中间地带比想象中大			每个点按投票倾向从蓝 #4A90D9 渐变到红 #e94560，摇摆郡用白色描边标注	关键郡名标注在对应点旁，底部放刻度轴（D+30 → R+30）	水平轴为投票倾向刻度，点沿垂直方向紧凑排列避免重叠，形成有机的"蜂群"形态	Sans-serif（Inter），郡名标注 9px，轴标签 12px，标题 24px	第一眼→中间密集的紫色调"蜂群" → 第二眼→两侧蓝红的极端点 → 最终理解→美国政治版图远非两极对立	蜂群图（Beeswarm）,ProPublica
269	ProPublica / Gapminder Dollar Street 合作	分面小多图（Small Multiples）	ProPublica — Dollar Street：全球家庭收入的分面小多图	按月收入从1美元到500美元排列全球家庭照片，让读者"走"过收入阶梯，看见生活水平是渐变而非断裂的			每个收入档用一张代表性照片作为子图内容，选中的当前档用蓝色边框 #1565C0 标注	每张子图下方标注月收入数值和国家名，顶部统一横轴标注收入范围	网格矩阵，每格一张家庭照片+标注，按收入从左到右、从上到下递增排列	Sans-serif，收入数值 14px 加粗，国家名 11px 常规	第一眼→最穷和最富两张照片的对比 → 第二眼→中间档的渐变过渡 → 最终理解→收入的每一美元都在改变生活形态	分面小多图（Small Mul,ProPublica
270	ProPublica Surgeon Scorecard	热力矩阵（Heatmap Matrix）	ProPublica — 医疗调查：医院手术风险的热力矩阵	按医院×手术类型交叉展示并发症率，让读者一眼找到"哪家医院的哪种手术风险异常高"			并发症率用红绿渐变填充单元格，超过预期阈值的单元格用粗红色边框+三角警示标记	行头=医院名，列头=手术类型，异常单元格内标注具体百分比，右侧放图例	行×列矩阵，单元格用颜色编码风险等级，右侧图例条	Sans-serif，医院名 10px，百分比 11px 等宽加粗，列头 12px	第一眼→红色集中区域 → 第二眼→哪行（哪家医院）红色最多 → 最终理解→特定医院在特定手术上的系统性风险	热力矩阵（Heatmap Ma,ProPublica
271	ProPublica《Trump Inc.》系列调查	桑基图	ProPublica — Trump Inc.：利益冲突的桑基图	追踪从政府决策到特朗普集团商业利益的资金流向，让"利益冲突"从抽象概念变成可见的资金链条			确认的资金流向用红色 #e94560 实心粗线，疑似流向用虚线半透明，无关流向灰色	节点标注机构名+金额，流线上标注资金性质（税金/会员费/租金），关键汇合点放大标注	左侧政府/公共资金源，中间政策/决策节点，右侧特朗普集团商业实体	Sans-serif，节点名 12px 加粗，流线标注 10px，金额 13px 等宽	第一眼→左侧公共资金 → 第二眼→红色流线汇入右侧商业实体 → 最终理解→政策决策与商业利益的交织网络	桑基图,ProPublica
